marca,modelo,km,potencia,fecha_registro,tipo_gasolina,color,tipo_coche,volante_regulable,aire_acondicionado,camara_trasera,asientos_traseros_plegables,elevalunas_electrico,bluetooth,gps,alerta_lim_velocidad,precio,fecha_venta
,118,140411.0,100.0,2012-02-01,diesel,black,,True,True,False,,True,,True,,11300.0,2018-01-01
BMW,M4,13929.0,317.0,,petrol,grey,convertible,True,True,False,,False,True,True,True,69700.0,2018-02-01
BMW,320,183297.0,120.0,2012-04-01,diesel,white,,False,False,False,,True,False,True,False,10200.0,2018-02-01
BMW,420,128035.0,135.0,,diesel,red,convertible,True,True,False,,True,True,True,,25100.0,2018-02-01
BMW,425,97097.0,160.0,,diesel,silver,,True,True,False,False,False,True,True,True,33400.0,2018-04-01
BMW,335,152352.0,225.0,2011-05-01,petrol,black,,True,True,False,False,True,True,True,True,17100.0,2018-02-01
BMW,325,205219.0,145.0,,diesel,grey,convertible,True,True,False,,True,True,True,True,12400.0,2018-02-01
BMW,118,115560.0,105.0,2009-08-01,petrol,white,convertible,True,True,False,,False,True,True,False,6100.0,2018-02-01
,Z4,123886.0,125.0,,petrol,black,convertible,True,False,False,False,False,,True,False,6200.0,2018-03-01
BMW,320,139541.0,135.0,,diesel,white,convertible,False,False,False,,True,False,True,False,17300.0,2018-03-01
BMW,320,77115.0,135.0,,diesel,blue,convertible,True,True,False,,True,False,True,True,19300.0,2018-03-01
,325,228000.0,145.0,,diesel,black,,True,True,False,False,True,False,True,,13300.0,2018-03-01
BMW,420,132025.0,135.0,2014-03-01,diesel,blue,,True,,False,False,True,True,True,,21700.0,2018-03-01
BMW,420,77061.0,135.0,2015-08-01,diesel,black,,True,True,False,,True,True,True,True,36300.0,2018-03-01
BMW,120,174631.0,120.0,2009-01-01,diesel,,convertible,True,True,False,False,False,False,True,False,10500.0,2018-04-01
BMW,120,208945.0,130.0,2008-04-01,diesel,grey,convertible,True,True,False,,True,False,True,,8300.0,2018-04-01
BMW,220,21167.0,135.0,2015-07-01,petrol,white,convertible,False,,True,,False,False,False,True,21900.0,2018-04-01
BMW,650,24521.0,270.0,,petrol,grey,convertible,True,False,False,False,False,False,True,False,9200.0,2018-09-01
,325,205474.0,145.0,2009-05-01,diesel,,,True,True,False,,True,,True,,11000.0,2018-04-01
BMW,Z4,128940.0,110.0,,petrol,black,,True,False,False,,False,False,True,False,7700.0,2018-05-01
BMW,135,126213.0,225.0,2013-02-01,petrol,white,convertible,False,False,False,,False,True,True,True,16800.0,2018-05-01
,218,24868.0,100.0,,petrol,grey,convertible,False,True,False,,False,,True,True,31000.0,2018-05-01
BMW,420,90401.0,135.0,2014-10-01,diesel,grey,convertible,True,True,False,,True,,True,True,26300.0,2018-05-01
BMW,220,46963.0,140.0,,diesel,orange,,False,True,False,False,False,,True,True,23300.0,2018-05-01
,Z4,43662.0,180.0,,petrol,orange,convertible,True,False,False,False,True,False,True,False,20800.0,2018-05-01
BMW,318,196092.0,85.0,1995-10-01,petrol,,convertible,True,False,False,False,False,False,False,False,1800.0,2018-05-01
BMW,430,113678.0,190.0,,diesel,black,,True,True,False,False,True,,True,,30100.0,2018-05-01
BMW,420,65988.0,135.0,,diesel,grey,convertible,True,True,False,,True,True,True,True,28700.0,2018-05-01
BMW,Z4,123809.0,125.0,,petrol,black,convertible,True,,False,,False,True,True,False,6500.0,2018-05-01
BMW,320,181252.0,120.0,,diesel,black,convertible,True,True,False,,True,False,True,True,11100.0,2018-05-01
BMW,118,195114.0,105.0,,diesel,red,,True,True,False,,False,True,True,False,9900.0,2018-05-01
BMW,Z4,82761.0,110.0,2005-05-01,petrol,grey,convertible,True,False,False,,False,True,True,False,9500.0,2018-05-01
,218,25050.0,100.0,,petrol,grey,convertible,False,True,False,,False,False,True,,31000.0,2018-06-01
BMW,420,64832.0,135.0,2014-04-01,diesel,grey,,True,True,False,False,True,,True,True,27500.0,2018-06-01
,120,240788.0,120.0,2009-01-01,diesel,grey,,True,False,False,,False,False,True,,5500.0,2018-06-01
BMW,Z4,124516.0,125.0,,petrol,black,convertible,True,False,False,,False,True,True,False,6300.0,2018-06-01
BMW,318,187294.0,105.0,,petrol,,convertible,True,False,False,False,False,True,True,,2400.0,2018-06-01
BMW,650,24452.0,270.0,,petrol,grey,,True,False,False,,False,False,True,False,6800.0,2018-07-01
BMW,218,17267.0,110.0,2016-03-01,diesel,white,convertible,True,True,False,,True,False,True,True,24200.0,2018-07-01
BMW,320,194192.0,120.0,2008-07-01,diesel,beige,convertible,True,True,False,False,True,False,True,False,11800.0,2018-07-01
BMW,420,36696.0,120.0,,diesel,black,convertible,True,,False,,True,False,True,True,34300.0,2018-07-01
BMW,M3,270907.0,236.0,,petrol,black,,True,False,False,False,False,True,True,,12100.0,2018-08-01
BMW,330,142483.0,180.0,,diesel,blue,convertible,True,True,False,,True,False,True,True,15800.0,2007-08-01
BMW,120,223269.0,120.0,,diesel,blue,convertible,True,True,False,False,False,False,True,True,8000.0,2018-08-01
BMW,120,158805.0,130.0,,diesel,black,convertible,True,False,False,,True,True,True,False,9000.0,2018-08-01
BMW,218,13131.0,110.0,,diesel,grey,,False,True,False,,True,False,True,,24300.0,2018-08-01
BMW,318,187104.0,105.0,2001-09-01,petrol,red,convertible,True,False,False,False,False,True,True,False,2600.0,2018-08-01
BMW,420,20996.0,135.0,2014-05-01,petrol,,coupe,True,False,False,,True,False,True,False,21400.0,2018-04-01
BMW,420,50222.0,135.0,,diesel,grey,coupe,False,False,False,False,False,False,False,True,26200.0,2018-05-01
BMW,118,147180.0,100.0,2012-05-01,diesel,,coupe,True,,True,,False,False,True,,8400.0,2018-07-01
BMW,218,51618.0,105.0,,diesel,grey,,False,True,False,,True,False,True,False,17100.0,2018-06-01
BMW,320,104433.0,120.0,2008-03-01,diesel,silver,coupe,True,False,False,,True,False,True,False,7500.0,2018-07-01
BMW,420,77334.0,135.0,2014-01-01,diesel,grey,coupe,False,False,False,False,True,False,True,False,23800.0,2018-07-01
BMW,420,55329.0,135.0,2014-03-01,diesel,black,coupe,False,False,False,False,False,False,False,False,26500.0,2018-05-01
BMW,420,14041.0,140.0,2016-07-01,diesel,blue,coupe,True,True,False,False,True,True,True,False,27700.0,2018-09-01
BMW,225,78638.0,160.0,,diesel,black,coupe,False,True,False,,False,True,True,True,18300.0,2018-01-01
BMW,320,329173.0,110.0,2004-07-01,diesel,silver,,True,False,False,,False,,True,True,2300.0,2018-08-01
,M235,34082.0,240.0,,petrol,grey,coupe,False,True,True,False,True,True,True,,30200.0,2018-01-01
BMW,316,265751.0,85.0,,petrol,silver,coupe,False,False,False,,False,,False,False,1000.0,2018-01-01
